X,Y,Z
2.974117580582113973e+01,2.307647007243598125e+01,2.868583950503080793e+00
2.959411698557874715e+01,2.311764654210385217e+01,2.868583950503081681e+00
2.924347760722688960e+01,2.306086904976679008e+01,-1.956678996192969366e+00
2.918695586935981368e+01,2.292173861809398971e+01,-1.956678996192969811e+00
2.913043413149273775e+01,2.278260818642118579e+01,-1.956678996192970255e+00
2.907391239362566537e+01,2.264347775474838542e+01,-1.956678996192969811e+00
2.901739065575858945e+01,2.250434732307558505e+01,-1.956678996192970255e+00
2.896086891789151352e+01,2.236521689140278468e+01,-1.956678996192970477e+00
2.890434718002443759e+01,2.222608645972998076e+01,-1.956678996192969588e+00
2.884782544215736166e+01,2.208695602805718039e+01,-1.956678996192969366e+00
2.879130370429028574e+01,2.194782559638438002e+01,-1.956678996192969588e+00
2.873478196642320981e+01,2.180869516471157965e+01,-1.956678996192970033e+00
2.867826022855613743e+01,2.166956473303877573e+01,-1.956678996192969588e+00
2.862173849068906151e+01,2.153043430136597536e+01,-1.956678996192969588e+00
2.856521675282198558e+01,2.139130386969317499e+01,-1.956678996192970033e+00
2.850869501495490965e+01,2.125217343802037462e+01,-1.956678996192970921e+00
2.845217327708783372e+01,2.111304300634757070e+01,-1.956678996192970699e+00
2.839565153922075780e+01,2.097391257467477033e+01,-1.956678996192970477e+00
2.833912980135368187e+01,2.083478214300196996e+01,-1.956678996192970699e+00
2.828260806348660950e+01,2.069565171132916959e+01,-1.956678996192970477e+00
2.822608632561953357e+01,2.055652127965636566e+01,-1.956678996192970255e+00
2.816956458775245764e+01,2.041739084798356529e+01,-1.956678996192969811e+00
2.811304284988538171e+01,2.027826041631076492e+01,-1.956678996192971809e+00
2.811304284988538171e+01,2.027826041631076492e+01,-1.956678996192971587e+00
2.805652111201830579e+01,2.013912998463796455e+01,-1.956678996192971365e+00
2.799999937415122986e+01,1.999999955296516418e+01,-1.956678996192970699e+00
2.789795856010549002e+01,1.988775465751485072e+01,-2.308611386915362385e+00
2.779591774605975019e+01,1.977550976206453370e+01,-2.308611386915362385e+00
2.769387693201400680e+01,1.966326486661422024e+01,-2.308611386915361052e+00
2.759183611796826696e+01,1.955101997116390677e+01,-2.308611386915362385e+00
2.748979530392252713e+01,1.943877507571358976e+01,-2.308611386915362385e+00
2.738775448987678374e+01,1.932653018026327629e+01,-2.308611386915361496e+00
